query_id,method,ndcg_at_10
5511,P-SAFE-AMSR,0.094788
5534,Dense,0.000000
5534,P-SAFE-AMSR,0.000000
5585,Dense,0.000000
5585,P-SAFE-AMSR,0.000000
56,Dense,0.630930
56,P-SAFE-AMSR,0.630930
5616,Dense,0.333333
5616,P-SAFE-AMSR,0.333333
5620,Dense,0.000000
5620,P-SAFE-AMSR,0.000000
5683,Dense,1.000000
5683,P-SAFE-AMSR,1.000000
5741,Dense,0.000000
5741,P-SAFE-AMSR,0.000000
5763,Dense,0.000000
5763,P-SAFE-AMSR,0.000000
5862,Dense,0.112845
5862,P-SAFE-AMSR,0.112845
588,Dense,0.543771
588,P-SAFE-AMSR,0.543771
5888,Dense,0.000000
5888,P-SAFE-AMSR,0.000000
5906,Dense,0.543771
5906,P-SAFE-AMSR,0.543771
6002,Dense,0.788550
6002,P-SAFE-AMSR,0.788550
6004,Dense,0.000000
6004,P-SAFE-AMSR,0.000000
6009,Dense,0.000000
6009,P-SAFE-AMSR,0.000000
6121,Dense,0.613147
6121,P-SAFE-AMSR,0.613147
6122,Dense,0.469279
6122,P-SAFE-AMSR,0.469279
6131,Dense,0.302404
6131,P-SAFE-AMSR,0.302404
6133,Dense,0.237198
6133,P-SAFE-AMSR,0.237198
6219,Dense,1.000000
6219,P-SAFE-AMSR,1.000000
6262,Dense,0.604931
6262,P-SAFE-AMSR,0.604931
6278,Dense,1.000000
6278,P-SAFE-AMSR,1.000000
6395,Dense,0.000000
6395,P-SAFE-AMSR,0.000000
6468,Dense,0.806574
6468,P-SAFE-AMSR,0.806574
6479,Dense,0.919721
6479,P-SAFE-AMSR,0.919721
6554,Dense,0.000000
6554,P-SAFE-AMSR,0.000000
6562,Dense,0.117516
6562,P-SAFE-AMSR,0.117516
659,Dense,0.596538
659,P-SAFE-AMSR,0.596538
6611,Dense,0.543771
6611,P-SAFE-AMSR,0.543771
6644,Dense,0.000000
6644,P-SAFE-AMSR,0.000000
6683,Dense,0.193426
6683,P-SAFE-AMSR,0.193426
6746,Dense,0.386853
6746,P-SAFE-AMSR,0.386853
6787,Dense,0.000000
6787,P-SAFE-AMSR,0.000000
68,Dense,0.000000
68,P-SAFE-AMSR,0.000000
6800,Dense,1.000000
6800,P-SAFE-AMSR,1.000000
6803,Dense,0.541400
6803,P-SAFE-AMSR,0.541400
6849,Dense,0.000000
6849,P-SAFE-AMSR,0.000000
6862,Dense,1.000000
6862,P-SAFE-AMSR,1.000000
6867,Dense,0.118383
6867,P-SAFE-AMSR,0.118383
689,Dense,0.000000
689,P-SAFE-AMSR,0.000000
6890,Dense,0.306574
6890,P-SAFE-AMSR,0.306574
6907,Dense,0.000000
6907,P-SAFE-AMSR,0.000000
6909,Dense,0.000000
6909,P-SAFE-AMSR,0.000000
691,Dense,0.356207
691,P-SAFE-AMSR,0.356207
6959,Dense,0.204382
6959,P-SAFE-AMSR,0.204382
6985,Dense,1.000000
6985,P-SAFE-AMSR,1.000000
699,Dense,0.500000
699,P-SAFE-AMSR,0.500000
7017,Dense,0.000000
7017,P-SAFE-AMSR,0.000000
7068,Dense,0.613147
7068,P-SAFE-AMSR,0.613147
7096,Dense,0.000000
7096,P-SAFE-AMSR,0.000000
7105,Dense,0.430677
7105,P-SAFE-AMSR,0.430677
7124,Dense,0.681659
7124,P-SAFE-AMSR,0.681659
7141,Dense,0.306574
7141,P-SAFE-AMSR,0.306574
7178,Dense,0.630930
7178,P-SAFE-AMSR,0.630930
7188,Dense,0.289065
7188,P-SAFE-AMSR,0.289065
7205,Dense,1.000000
7205,P-SAFE-AMSR,1.000000
7221,Dense,0.000000
7221,P-SAFE-AMSR,0.000000
7279,Dense,0.787702
7279,P-SAFE-AMSR,0.787702
7311,Dense,0.000000
7311,P-SAFE-AMSR,0.000000
7326,Dense,0.000000
7326,P-SAFE-AMSR,0.000000
7329,Dense,0.613147
7329,P-SAFE-AMSR,0.613147
7344,Dense,0.386853
7344,P-SAFE-AMSR,0.386853
7345,Dense,0.000000
7345,P-SAFE-AMSR,0.000000
7377,Dense,1.000000
7377,P-SAFE-AMSR,1.000000
744,Dense,0.469279
744,P-SAFE-AMSR,0.469279
7448,Dense,1.000000
7448,P-SAFE-AMSR,1.000000
7456,Dense,0.000000
7456,P-SAFE-AMSR,0.000000
7463,Dense,0.276573
7463,P-SAFE-AMSR,0.276573
7467,Dense,1.000000
7467,P-SAFE-AMSR,1.000000
7484,Dense,1.000000
7484,P-SAFE-AMSR,1.000000
750,Dense,0.806574
750,P-SAFE-AMSR,0.806574
7512,Dense,0.000000
7512,P-SAFE-AMSR,0.000000
7529,Dense,0.177239
7529,P-SAFE-AMSR,0.177239
753,Dense,0.000000
753,P-SAFE-AMSR,0.000000
7533,Dense,0.000000
7533,P-SAFE-AMSR,0.000000
7590,Dense,0.613147
7590,P-SAFE-AMSR,0.613147
7592,Dense,0.000000
7592,P-SAFE-AMSR,0.000000
7594,Dense,0.000000
7594,P-SAFE-AMSR,0.000000
7633,Dense,0.390380
7633,P-SAFE-AMSR,0.390380
766,Dense,0.469279
766,P-SAFE-AMSR,0.469279
7674,Dense,0.000000
7674,P-SAFE-AMSR,0.000000
7700,Dense,0.390380
7700,P-SAFE-AMSR,0.390380
7702,Dense,0.613147
7702,P-SAFE-AMSR,0.613147
7705,Dense,0.234639
7705,P-SAFE-AMSR,0.234639
7747,Dense,0.000000
7747,P-SAFE-AMSR,0.000000
7879,Dense,0.000000
7879,P-SAFE-AMSR,0.000000
7911,Dense,1.000000
7911,P-SAFE-AMSR,1.000000
7928,Dense,0.334246
7928,P-SAFE-AMSR,0.334246
7992,Dense,0.000000
7992,P-SAFE-AMSR,0.000000
8,Dense,0.613147
8,P-SAFE-AMSR,0.613147
8002,Dense,0.469279
8002,P-SAFE-AMSR,0.469279
8013,Dense,0.000000
8013,P-SAFE-AMSR,0.000000
8017,Dense,0.000000
8017,P-SAFE-AMSR,0.000000
8034,Dense,0.500000
8034,P-SAFE-AMSR,0.500000
8040,Dense,0.630930
8040,P-SAFE-AMSR,0.630930
8079,Dense,0.469279
8079,P-SAFE-AMSR,0.469279
8102,Dense,0.000000
8102,P-SAFE-AMSR,0.000000
8116,Dense,0.650921
8116,P-SAFE-AMSR,0.650921
8121,Dense,1.000000
8121,P-SAFE-AMSR,1.000000
813,Dense,0.000000
813,P-SAFE-AMSR,0.000000
8247,Dense,0.151020
8247,P-SAFE-AMSR,0.151020
8271,Dense,0.613147
8271,P-SAFE-AMSR,0.613147
8296,Dense,1.000000
8296,P-SAFE-AMSR,1.000000
8351,Dense,0.000000
8351,P-SAFE-AMSR,0.000000
8513,Dense,0.000000
8513,P-SAFE-AMSR,0.000000
852,Dense,0.827812
852,P-SAFE-AMSR,0.827812
853,Dense,0.218407
853,P-SAFE-AMSR,0.218407
8537,Dense,1.000000
8537,P-SAFE-AMSR,1.000000
8539,Dense,0.130127
8539,P-SAFE-AMSR,0.130127
859,Dense,0.386853
859,P-SAFE-AMSR,0.386853
8592,Dense,0.296082
8592,P-SAFE-AMSR,0.296082
8635,Dense,0.000000
8635,P-SAFE-AMSR,0.000000
8779,Dense,0.193426
8779,P-SAFE-AMSR,0.193426
879,Dense,1.000000
879,P-SAFE-AMSR,1.000000
8795,Dense,1.000000
8795,P-SAFE-AMSR,1.000000
8874,Dense,0.000000
8874,P-SAFE-AMSR,0.000000
89,Dense,0.000000
89,P-SAFE-AMSR,0.000000
8934,Dense,0.193426
8934,P-SAFE-AMSR,0.193426
8937,Dense,0.333333
8937,P-SAFE-AMSR,0.333333
8947,Dense,0.386853
8947,P-SAFE-AMSR,0.386853
895,Dense,1.000000
895,P-SAFE-AMSR,1.000000
8970,Dense,1.000000
8970,P-SAFE-AMSR,1.000000
8974,Dense,0.726955
8974,P-SAFE-AMSR,0.726955
8982,Dense,0.000000
8982,P-SAFE-AMSR,0.000000
90,Dense,0.500000
90,P-SAFE-AMSR,0.500000
904,Dense,1.000000
904,P-SAFE-AMSR,1.000000
9060,Dense,0.613147
9060,P-SAFE-AMSR,0.613147
9088,Dense,0.000000
9088,P-SAFE-AMSR,0.000000
9108,Dense,0.000000
9108,P-SAFE-AMSR,0.000000
9115,Dense,0.375906
9115,P-SAFE-AMSR,0.375906
9126,Dense,0.000000
9126,P-SAFE-AMSR,0.000000
9164,Dense,0.234639
9164,P-SAFE-AMSR,0.234639
9174,Dense,0.213986
9174,P-SAFE-AMSR,0.213986
9188,Dense,1.000000
9188,P-SAFE-AMSR,1.000000
9245,Dense,0.000000
9245,P-SAFE-AMSR,0.000000
9291,Dense,0.000000
9291,P-SAFE-AMSR,0.000000
9296,Dense,0.386853
9296,P-SAFE-AMSR,0.386853
94,Dense,0.500000
94,P-SAFE-AMSR,0.500000
945,Dense,0.301030
945,P-SAFE-AMSR,0.301030
9481,Dense,0.624051
9481,P-SAFE-AMSR,0.624051
9487,Dense,0.000000
9487,P-SAFE-AMSR,0.000000
9556,Dense,0.500000
9556,P-SAFE-AMSR,0.500000
9598,Dense,0.500000
9598,P-SAFE-AMSR,0.500000
9617,Dense,0.296082
9617,P-SAFE-AMSR,0.296082
9633,Dense,0.613147
9633,P-SAFE-AMSR,0.613147
9644,Dense,0.500000
9644,P-SAFE-AMSR,0.500000
9882,Dense,0.000000
9882,P-SAFE-AMSR,0.000000
9925,Dense,0.613147
9925,P-SAFE-AMSR,0.613147
